,channelGrouping,date,fullVisitorId,visitId,visitNumber,visitStartTime,device.browser,device.deviceCategory,device.isMobile,device.operatingSystem,geoNetwork.city,geoNetwork.continent,geoNetwork.country,geoNetwork.metro,geoNetwork.networkDomain,geoNetwork.region,geoNetwork.subContinent,totals.hits,totals.newVisits,totals.pageviews,totals.sessionQualityDim,totals.timeOnSite,totals.totalTransactionRevenue,totals.transactionRevenue,totals.transactions,trafficSource.adContent,trafficSource.adwordsClickInfo.adNetworkType,trafficSource.adwordsClickInfo.gclId,trafficSource.adwordsClickInfo.isVideoAd,trafficSource.adwordsClickInfo.page,trafficSource.adwordsClickInfo.slot,trafficSource.campaign,trafficSource.campaignCode,trafficSource.isTrueDirect,trafficSource.keyword,trafficSource.medium,trafficSource.referralPath,trafficSource.source
0,0,2017-10-16,9549826748224805897,1508200705,4,1508200705,0,0,False,0,0,0,0,0,0,0,0,9,0.0,9,13.0,261.0,17190000,15190000,1,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0
1,1,2017-10-16,3700714855829972615,1508192636,11,1508192636,0,0,False,1,1,0,0,1,0,1,0,15,0.0,12,38.0,285.0,13000000,8000000,1,0,0,0,0,0.0,0,0,0.0,1,1,1,1,1
2,0,2017-10-16,1572225825161580042,1508162218,6,1508162218,1,1,True,2,2,0,0,2,1,1,0,15,0.0,15,42.0,1044.0,65300000,57300000,1,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0
3,1,2017-10-16,7187192533100162289,1508189401,17,1508189401,0,0,False,0,2,0,0,2,0,1,0,18,0.0,16,77.0,514.0,25230000,18230000,1,0,0,0,0,0.0,0,0,0.0,0,1,1,1,1
4,1,2017-10-16,7889233516776348524,1508190484,1,1508190484,0,0,False,0,0,0,0,0,0,0,0,21,1.0,20,62.0,487.0,16310000,12310000,1,0,0,0,0,0.0,0,0,0.0,1,1,1,1,1
5,1,2017-10-16,1061090985384136368,1508175834,2,1508175834,0,0,False,0,2,0,0,2,0,1,0,23,0.0,21,68.0,1312.0,51000000,44000000,1,0,0,0,0,0.0,0,0,0.0,0,1,1,1,1
6,0,2017-10-16,4716737341148415941,1508185536,1,1508185536,2,2,True,1,3,0,0,3,2,2,0,25,1.0,17,48.0,765.0,46000000,42000000,1,0,0,0,0,0.0,0,0,0.0,1,0,0,0,0
7,1,2017-10-16,8530613607503742741,1508193456,1,1508193456,0,0,False,0,2,0,0,2,0,1,0,27,1.0,23,66.0,848.0,22980000,15980000,1,0,0,0,0,0.0,0,0,0.0,1,1,1,1,1
8,1,2017-10-16,852373578529854535,1508166186,1,1508166186,0,0,False,0,4,0,0,4,0,3,0,28,1.0,23,82.0,2298.0,44940000,42940000,1,0,0,0,0,0.0,0,0,0.0,1,1,1,1,1
9,0,2017-10-16,1617947618176891753,1508172563,1,1508172563,0,0,False,0,5,0,0,5,2,4,0,28,1.0,22,48.0,664.0,16690000,10690000,1,0,0,0,0,0.0,0,0,0.0,1,0,0,0,0
10,1,2017-10-16,2030041108522427486,1508167254,1,1508167254,0,0,False,0,0,0,0,0,0,0,0,30,1.0,22,56.0,275.0,22590000,13590000,1,0,0,0,0,0.0,0,0,0.0,1,1,1,1,1
11,2,2017-10-16,8377259727591618279,1508204034,1,1508204034,0,0,False,0,3,0,0,3,3,2,0,33,1.0,31,88.0,756.0,18390000,10390000,1,0,0,0,0,0.0,0,0,0.0,0,1,1,0,1
12,1,2017-10-16,1447279966112382026,1508176972,1,1508176972,0,0,False,0,6,0,0,2,0,1,0,36,1.0,26,85.0,3425.0,63090000,56090000,1,0,0,0,0,0.0,0,0,0.0,1,1,1,1,1
13,3,2017-10-16,16787854108283646,1508196411,2,1508196411,0,0,False,3,2,0,0,2,4,1,0,38,0.0,28,79.0,898.0,65710000,62710000,1,0,1,1,1,1.0,1,1,0.0,1,2,2,0,0
14,1,2017-10-16,6253907950302062343,1508175918,10,1508175918,0,0,False,0,2,0,0,2,0,1,0,38,0.0,29,64.0,485.0,68990000,59990000,1,0,0,0,0,0.0,0,0,0.0,0,1,1,1,1
15,1,2017-10-16,5915581399835793502,1508169713,6,1508169713,0,0,False,0,3,0,0,3,4,2,0,41,0.0,28,93.0,567.0,124190000,122190000,1,0,0,0,0,0.0,0,0,0.0,0,1,1,1,1
16,3,2017-10-16,1810825910197739134,1508189368,1,1508189368,0,0,False,0,3,0,0,3,5,2,0,43,1.0,32,75.0,1849.0,17390000,15390000,1,0,1,2,1,1.0,1,1,0.0,1,3,2,0,0
17,1,2017-10-16,960484403338128999,1508192548,6,1508192548,0,0,False,0,7,0,0,1,0,1,0,46,0.0,29,83.0,735.0,49000000,44000000,1,0,0,0,0,0.0,0,0,0.0,0,1,1,1,1
18,1,2017-10-16,7406976187075316319,1508188866,4,1508188866,0,0,False,0,8,0,0,2,0,1,0,47,0.0,33,78.0,376.0,19960000,18960000,1,0,0,0,0,0.0,0,0,0.0,0,1,1,1,1
19,1,2017-10-16,4281040191770206312,1508166286,2,1508166286,0,0,False,0,9,0,0,5,0,4,0,50,0.0,33,86.0,1852.0,42150000,35150000,1,0,0,0,0,0.0,0,0,0.0,0,1,1,1,1
20,0,2017-10-16,5097087346105463693,1508214290,14,1508214290,0,0,False,0,2,0,0,2,0,1,0,74,0.0,40,65.0,821.0,34180000,27180000,1,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0
21,1,2017-10-16,7895381041766747549,1508147478,1,1508147478,0,0,False,0,0,0,0,0,6,0,0,93,1.0,54,69.0,817.0,18590000,13590000,1,0,0,0,0,0.0,0,0,0.0,1,1,1,1,1
22,0,2017-10-16,309482894121265066,1508166548,7,1508166548,0,0,False,1,3,0,1,3,7,2,0,138,0.0,111,71.0,4459.0,906430000,900430000,1,0,0,0,0,0.0,0,0,0.0,0,1,0,0,0
23,1,2017-10-16,9291001063810206156,1508190255,3,1508190255,0,0,False,3,0,0,0,0,0,0,0,165,0.0,98,88.0,1079.0,17120000,9120000,1,0,0,0,0,0.0,0,0,0.0,1,1,1,1,1
24,2,2016-09-02,6194193421514403509,1472843572,1,1472843572,0,0,False,4,10,0,0,6,0,5,0,11,1.0,11,0.0,493.0,41860000,37860000,1,0,0,0,0,0.0,0,0,0.0,0,1,1,0,1
25,0,2016-09-02,5327166854580374902,1472844906,3,1472844906,0,0,False,0,0,0,0,0,0,0,0,11,0.0,10,0.0,322.0,313670000,306670000,1,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0
26,1,2016-09-02,8885051388942907862,1472827393,7,1472827393,0,0,False,4,0,0,0,0,0,0,0,13,0.0,11,0.0,171.0,73030000,68030000,1,0,0,0,0,0.0,0,0,0.0,0,1,1,1,1
27,1,2016-09-02,185467632009737931,1472846398,6,1472846398,0,0,False,1,2,0,0,2,0,1,0,13,0.0,12,0.0,479.0,29250000,26250000,1,0,0,0,0,0.0,0,0,0.0,0,1,1,1,1
28,1,2016-09-02,3244885836845029978,1472824817,4,1472824817,0,0,False,0,3,0,0,3,0,2,0,17,0.0,14,0.0,242.0,578150000,574150000,1,0,0,0,0,0.0,0,0,0.0,0,1,1,1,1
29,1,2016-09-02,3351538799616866750,1472855945,2,1472855945,0,0,False,4,2,0,0,2,0,1,0,17,0.0,17,0.0,424.0,12380000,8380000,1,0,0,0,0,0.0,0,0,0.0,0,1,1,1,1
30,2,2016-09-02,1776658355119092313,1472861525,1,1472861525,1,0,False,0,11,0,0,2,4,1,0,19,1.0,16,0.0,538.0,402730000,395730000,1,0,0,0,0,0.0,0,0,0.0,0,1,1,0,1
31,1,2016-09-02,770431600902969839,1472836071,13,1472836071,0,0,False,4,12,0,0,7,0,6,0,20,0.0,15,0.0,210.0,25080000,24080000,1,0,0,0,0,0.0,0,0,0.0,0,1,1,1,1
32,1,2016-09-02,6664733704830724714,1472853995,7,1472853995,0,0,False,3,2,0,0,2,0,1,0,22,0.0,20,0.0,340.0,36080000,35080000,1,0,0,0,0,0.0,0,0,0.0,0,1,3,2,2
33,0,2016-09-02,7147112211830167925,1472853332,1,1472853332,0,1,True,5,2,0,0,2,8,1,0,22,1.0,16,0.0,429.0,36480000,35480000,1,0,0,0,0,0.0,0,0,0.0,1,0,0,0,0
